Network, Stride, Real Name, Multiply-Acc., Test Multiply-Acc.,Param., Top-1 Acc., Top-5 Acc.
msra-c, 2, MSRA-C, 53463151688, 1.07174422704e11, 330603368, 0.7841, 0.9429
msra-b, 2, MSRA-B, 23219921480, 46541685936, 183327080, 0.7715, 0.9373
msra-a, 2, MSRA-A, 19058122056, 38201309872, 178017384, 0.7703, 0.9349
vgg-19, 1, VGG-E, 19632077160, 39300854544, 143667240, 0.727, 0.91
vgg-16 (D), 1, VGG-D, 15470277736, 30968867088, 138357544, 0.73, 0.912
vgg-16 (C), 1, VGG-C, 11770901608, 23570114832, 133638952, 0.719, 0.906
vgg-13, 1, VGG-B, 11308478312, 22636879632, 133047848, 0.713, 0.901
vgg-11, 1, VGG-A, 7609101992, 15236554128, 132863336, 0.703, 0.895
googlenet 10x, 2, GoogLeNet, 1591056680, 15910566800, 13378280, , 0.9085
googlenet 144x, 2, GoogLeNet, 1591056680, 229112161920, 13378280, , 0.9211
resnet-50-mirror-earlylr, 2, ResNet-50, 3857974312, 3857974312,  25503976, 0.72992, 0.91566